,location,lat,lon
0,"Banashankari, Bangalore",12.9152186,77.5736205
1,"Banashankari, Bangalore",12.9152186,77.5736205
2,"Banashankari, Bangalore",12.9152186,77.5736205
3,"Banashankari, Bangalore",12.9152186,77.5736205
4,"Basavanagudi, Bangalore",12.9417261,77.5755021
5,"Basavanagudi, Bangalore",12.9417261,77.5755021
6,"Banashankari, Bangalore",12.9152186,77.5736205
7,"Banashankari, Bangalore",12.9152186,77.5736205
8,"Banashankari, Bangalore",12.9152186,77.5736205
9,"Banashankari, Bangalore",12.9152186,77.5736205
10,"Banashankari, Bangalore",12.9152186,77.5736205
11,"Banashankari, Bangalore",12.9152186,77.5736205
12,"Banashankari, Bangalore",12.9152186,77.5736205
13,"Banashankari, Bangalore",12.9152186,77.5736205
14,"Banashankari, Bangalore",12.9152186,77.5736205
15,"Banashankari, Bangalore",12.9152186,77.5736205
16,"Banashankari, Bangalore",12.9152186,77.5736205
17,"Banashankari, Bangalore",12.9152186,77.5736205
18,"Banashankari, Bangalore",12.9152186,77.5736205
19,"Banashankari, Bangalore",12.9152186,77.5736205
20,"Banashankari, Bangalore",12.9152186,77.5736205
21,"Banashankari, Bangalore",12.9152186,77.5736205
22,"Banashankari, Bangalore",12.9152186,77.5736205
23,"Banashankari, Bangalore",12.9152186,77.5736205
24,"Banashankari, Bangalore",12.9152186,77.5736205
25,"Banashankari, Bangalore",12.9152186,77.5736205
26,"Banashankari, Bangalore",12.9152186,77.5736205
27,"Banashankari, Bangalore",12.9152186,77.5736205
28,"Basavanagudi, Bangalore",12.9417261,77.5755021
29,"Basavanagudi, Bangalore",12.9417261,77.5755021
30,"Banashankari, Bangalore",12.9152186,77.5736205
31,"Banashankari, Bangalore",12.9152186,77.5736205
32,"Banashankari, Bangalore",12.9152186,77.5736205
33,"Banashankari, Bangalore",12.9152186,77.5736205
34,"Banashankari, Bangalore",12.9152186,77.5736205
35,"Banashankari, Bangalore",12.9152186,77.5736205
36,"Banashankari, Bangalore",12.9152186,77.5736205
37,"Jayanagar, Bangalore",12.9292731,77.5824229
38,"Banashankari, Bangalore",12.9152186,77.5736205
39,"Basavanagudi, Bangalore",12.9417261,77.5755021
40,"Banashankari, Bangalore",12.9152186,77.5736205
41,"Banashankari, Bangalore",12.9152186,77.5736205
42,"Banashankari, Bangalore",12.9152186,77.5736205
43,"Banashankari, Bangalore",12.9152186,77.5736205
44,"Banashankari, Bangalore",12.9152186,77.5736205
45,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
46,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
47,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
48,"Banashankari, Bangalore",12.9152186,77.5736205
49,"Banashankari, Bangalore",12.9152186,77.5736205
50,"Jayanagar, Bangalore",12.9292731,77.5824229
51,"Banashankari, Bangalore",12.9152186,77.5736205
52,"Banashankari, Bangalore",12.9152186,77.5736205
53,"Banashankari, Bangalore",12.9152186,77.5736205
54,"Banashankari, Bangalore",12.9152186,77.5736205
55,"Banashankari, Bangalore",12.9152186,77.5736205
56,"Banashankari, Bangalore",12.9152186,77.5736205
57,"Banashankari, Bangalore",12.9152186,77.5736205
58,"Kumaraswamy Layout, Bangalore",12.9081487,77.5553179
59,"Basavanagudi, Bangalore",12.9417261,77.5755021
60,"Banashankari, Bangalore",12.9152186,77.5736205
61,"Banashankari, Bangalore",12.9152186,77.5736205
62,"Basavanagudi, Bangalore",12.9417261,77.5755021
63,"Jayanagar, Bangalore",12.9292731,77.5824229
64,"Banashankari, Bangalore",12.9152186,77.5736205
65,"Banashankari, Bangalore",12.9152186,77.5736205
66,"Basavanagudi, Bangalore",12.9417261,77.5755021
67,"Banashankari, Bangalore",12.9152186,77.5736205
68,"Banashankari, Bangalore",12.9152186,77.5736205
69,"Banashankari, Bangalore",12.9152186,77.5736205
