name,rate,location,cuisines,cost_for_two
"Jalsa,Banashankari",4.1,Banashankari,"North Indian, Mughlai, Chinese, Buffet, Delivery, Dine-out",800
"Spice Elephant,Banashankari",4.1,Banashankari,"Chinese, North Indian, Thai, Buffet, Delivery, Dine-out",800
"San Churro Cafe,Banashankari",3.8,Banashankari,"Cafe, Mexican, Italian, Buffet, Cafes, Delivery, Desserts, Dine-out",800
"Addhuri Udupi Bhojana,Banashankari",3.7,Banashankari,"South Indian, North Indian, Buffet, Dine-out",300
"Grand Village,Basavanagudi",3.8,Basavanagudi,"North Indian, Rajasthani, Buffet, Dine-out",600
"Timepass Dinner,Basavanagudi",3.8,Basavanagudi,"North Indian, Buffet, Delivery, Dine-out",600
"Onesta,Banashankari",4.6,Banashankari,"Pizza, Cafe, Italian, Cafes, Delivery, Dine-out",600
"Penthouse Cafe,Banashankari",4.0,Banashankari,"Cafe, Italian, Continental, Cafes, Delivery, Dine-out",700
"Smacznego,Banashankari",4.2,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages, Cafes, Delivery, Dine-out",550
"Café Down The Alley,Banashankari",4.1,Banashankari,"Cafe, Cafes",500
"Cafe Shuffle,Banashankari",4.2,Banashankari,"Cafe, Italian, Continental, Cafes, Delivery, Dine-out, Dine-out",600
"The Coffee Shack,Banashankari",4.2,Banashankari,"Cafe, Chinese, Continental, Italian, Cafes, Delivery, Dine-out",500
"Caf-Eleven,Banashankari",4.0,Banashankari,"Cafe, Continental, Cafes, Dine-out",450
"Cafe Vivacity,Banashankari",3.8,Banashankari,"Cafe, Cafes, Delivery, Dine-out",650
"Catch-up-ino,Banashankari",3.9,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos, Cafes, Delivery, Dine-out",800
"Kirthi's Biryani,Banashankari",3.8,Banashankari,"Chinese, Cafe, Italian, Cafes, Delivery, Desserts, Dine-out",700
"T3H Cafe,Banashankari",3.9,Banashankari,"Cafe, Italian, American, Cafes, Dine-out",300
"360 Atoms Restaurant And Cafe,Banashankari",3.1,Banashankari,"Cafe, Chinese, Continental, Italian, Cafes, Delivery, Dine-out",400
"The Vintage Cafe,Banashankari",3.0,Banashankari,"Cafe, French, North Indian, Cafes, Delivery, Dine-out",400
"Woodee Pizza,Banashankari",3.7,Banashankari,"Cafe, Pizza, Fast Food, Beverages, Cafes, Delivery",500
"Cafe Coffee Day,Banashankari",3.6,Banashankari,"Cafe, Fast Food, Cafes, Dine-out, Delivery, Delivery",900
"My Tea House,Banashankari",3.6,Banashankari,"Italian, Fast Food, Cafe, European, Cafes, Delivery, Dine-out, Delivery, Delivery, Dine-out",600
"Hide Out Cafe,Banashankari",3.7,Banashankari,"Cafe, Cafes, Dine-out",300
"CAFE NOVA,Banashankari",3.2,Banashankari,"Cafe, Bakery, Cafes, Delivery, Desserts, Dine-out",600
"Coffee Tindi,Banashankari",3.8,Banashankari,"Cafe, South Indian, Cafes, Delivery",200
"Sea Green Cafe,Banashankari",3.3,Banashankari,"Cafe, Fast Food, Beverages, Cafes, Dine-out",500
"Cuppa,Banashankari",3.3,Banashankari,"Cafe, Fast Food, Cafes",550
"Srinathji's Cafe,Basavanagudi",3.8,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food, Cafes, Delivery, Dine-out",550
"Redberrys,Basavanagudi",4.0,Basavanagudi,"Cafe, Italian, Cafes, Delivery, Desserts, Dine-out",600
"Foodiction,Banashankari",2.8,Banashankari,"North Indian, Fast Food, Chinese, Burger, Delivery, Dine-out",500
"Sweet Truth,Banashankari",3.9,Banashankari,"Bakery, Desserts, Delivery, Desserts",500
"Ovenstory Pizza,Banashankari",3.9,Banashankari,"Pizza, Delivery",750
"Faasos,Banashankari",4.2,Banashankari,"North Indian, Biryani, Fast Food, Delivery, Dine-out",500
