name,rate,location,cuisines,cost_for_two,type
Jalsa,4.1,Banashankari,"North Indian, Mughlai, Chinese",800,Buffet
Spice Elephant,4.1,Banashankari,"Chinese, North Indian, Thai",800,Buffet
San Churro Cafe,3.8,Banashankari,"Cafe, Mexican, Italian",800,Buffet
Addhuri Udupi Bhojana,3.7,Banashankari,"South Indian, North Indian",300,Buffet
Grand Village,3.8,Basavanagudi,"North Indian, Rajasthani",600,Buffet
Timepass Dinner,3.8,Basavanagudi,North Indian,600,Buffet
Onesta,4.6,Banashankari,"Pizza, Cafe, Italian",600,Cafes
Penthouse Cafe,4,Banashankari,"Cafe, Italian, Continental",700,Cafes
Smacznego,4.2,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550,Cafes
Café Down The Alley,4.1,Banashankari,Cafe,500,Cafes
Cafe Shuffle,4.2,Banashankari,"Cafe, Italian, Continental",600,Cafes
The Coffee Shack,4.2,Banashankari,"Cafe, Chinese, Continental, Italian",500,Cafes
Caf-Eleven,4,Banashankari,"Cafe, Continental",450,Cafes
San Churro Cafe,3.8,Banashankari,"Cafe, Mexican, Italian",800,Cafes
Cafe Vivacity,3.8,Banashankari,Cafe,650,Cafes
Catch-up-ino,3.9,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes
Kirthi's Biryani,3.8,Banashankari,"Chinese, Cafe, Italian",700,Cafes
T3H Cafe,3.9,Banashankari,"Cafe, Italian, American",300,Cafes
360 Atoms Restaurant And Cafe,3.1,Banashankari,"Cafe, Chinese, Continental, Italian",400,Cafes
The Vintage Cafe,3,Banashankari,"Cafe, French, North Indian",400,Cafes
Woodee Pizza,3.7,Banashankari,"Cafe, Pizza, Fast Food, Beverages",500,Cafes
Cafe Coffee Day,3.6,Banashankari,"Cafe, Fast Food",900,Cafes
My Tea House,3.6,Banashankari,"Italian, Fast Food, Cafe, European",600,Cafes
Hide Out Cafe,3.7,Banashankari,Cafe,300,Cafes
CAFE NOVA,3.2,Banashankari,"Cafe, Bakery",600,Cafes
Coffee Tindi,3.8,Banashankari,"Cafe, South Indian",200,Cafes
Sea Green Cafe,3.3,Banashankari,"Cafe, Fast Food, Beverages",500,Cafes
Cuppa,3.3,Banashankari,"Cafe, Fast Food",550,Cafes
Srinathji's Cafe,3.8,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",550,Cafes
Redberrys,4,Basavanagudi,"Cafe, Italian",600,Cafes
Foodiction,2.8,Banashankari,"North Indian, Fast Food, Chinese, Burger",500,Delivery
Sweet Truth,3.9,Banashankari,"Bakery, Desserts",500,Delivery
Ovenstory Pizza,3.9,Banashankari,Pizza,750,Delivery
Faasos,4.2,Banashankari,"North Indian, Biryani, Fast Food",500,Delivery
Behrouz Biryani,3.9,Banashankari,Biryani,650,Delivery
Fast And Fresh,2.8,Banashankari,"North Indian, Chinese, Fast Food",400,Delivery
Szechuan Dragon,4.2,Banashankari,"Chinese, Thai, Momos",600,Delivery
Empire Restaurant,4.4,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",750,Delivery
Maruthi Davangere Benne Dosa,4,Banashankari,South Indian,150,Delivery
Chaatimes,3.8,Basavanagudi,"Street Food, Fast Food",200,Delivery
Havyaka Mess,3.9,Banashankari,South Indian,300,Delivery
McDonald's,3.9,Banashankari,"Burger, Fast Food",500,Delivery
Domino's Pizza,3.9,Banashankari,"Pizza, Fast Food",800,Delivery
Onesta,4.6,Banashankari,"Pizza, Cafe, Italian",600,Delivery
Hotboxit,3.8,Banashankari,"North Indian, Continental, Italian",400,Delivery
Kitchen Garden,3.6,Kumaraswamy Layout,"North Indian, Chinese",300,Delivery
Recipe,4,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",450,Delivery
Tasty Bytes,3.1,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",300,Delivery
